쥐띠,1996,이성 간에 말 못할 고민이 생기겠군요. 한번 미워지면 정말로 돌이킬 수 없어요. 만남을 다음으로 연기하고 그동안 소홀했던 학업이나 가족 등에게 관심을 돌려 보세요.
쥐띠,1984,사고 파는 것에 대한 이익이 없네요. 오히려 투자하면 큰 어려움을 당할 수 있으니 신중해야 하겠군요. 친구를 만나거나 가족과의 단란한 시간이 더 중요한 날 이예요.
쥐띠,1972,"돈과 계약, 매매 등에서는 좋은 소식이 들려오나, 애정 운이 저조하군요. 노력을 해도 상대방의 마음을 얻을 수 없네요. 짝 사랑은 일찍 마음의 정리를 하는 것도 최선이예요."
쥐띠,1960,이게 바로 지푸라기라도 잡은 심정일까요? 몸과 마음이 지쳐있는 당신에게 지금 필요한 것은 휴식이에요. 휴식을 충분히 취하고 나면 기회를 다시 잡을 수 있으니 걱정 마세요.
쥐띠,1948,모임이나 외출을 하기에 아주 좋은 날이네요. 친구를 만나거나 사랑하는 가족들과 여행을 계획하는 것도 좋으니 집에만 있지 말고 밖으로 나가보세요. 좋은 일들이 기다리고 있을 거예요.
쥐띠,1936,진행하고 있는 일이 있다면 인정을 받을 기회가 올 거예요. 주저하지 말고 적극적으로 행동해서 기회를 놓치지 말아야 해요. 하지만 순리를 따르지 않으면 승산이 없으니 조심하세요.
소띠,1997,오늘은 기대했던 일에서 실망감이 생길 수 있겠군요. 나만의 플랜을 잘 세우고 자신을 격려하는 하루를 보내세요. 가족이나 친구들의 조언과 따뜻한 말 한마디가 필요한 날 이예요.
소띠,1985,"일과 성공이 함께 따르는 날 이군요. 중요한 안건을 논의하거나, 결재 받을 일이 있다면 좋은 결과가 기대되네요. 내일로 일을 미루지 말고 오늘 안에 해결하면 성과가 크겠군요."
소띠,1973,"노력한 보람이 있군요. 저축이 만기가 되어 목돈이 생기거나, 투자나 계약 성사의 기쁨이 따르네요. 부지런히 소기의 목적을 달성하기 위해 움직이세요. 내일로 결정을 미루지 마세요."
소띠,1961,너무 딱딱하면 부러질 수 있어요. 적당한 선에서 부드럽게 타협하는 것도 좋은 방법이겠네요. 너무 욕심을 부리다가는 오히려 뒤처질 수 있으니 마음을 조금씩 비우 도록 노력하세요.
소띠,1949,생각했던 대로 일이 진행되어 금전적인 부분에서 많은 이익을 볼 수 있어요. 계획은 아주 완벽해요. 당신의 문 앞에서 재물이 기다리고 있는 격이니 주저하지 말고 진행하세요.
소띠,1937,이런.. 언 땅에 눈까지 내리니 힘든 하루가 되겠네요. 시간이 지나면 모두 해결되니 너무 걱정하지 말고 마음을 비우세요. 가벼운 마음으로 하루를 보낸다면 도움이 될 거예요.
호랑이띠,1998,몸의 컨디션이 최상의 상태 이니 자신감도 가득 찬 하루 이군요. 자신에게 주어진 일을 열심히 실행해 보세요. 모든 일이 순조롭게 진행되고 나를 도와주는 친구도 나타날 거예요.
호랑이띠,1986,와우~ 애정 운이 상승하고 있네요. 애인을 만나거나 소개팅에 나가 보세요. 내가 원하는 이상형을 만나게 될 운명의 날 이거든요. 일 에만 집중하지 말고 사랑을 찾아 움직이세요.
호랑이띠,1974,"몸의 상태가 아주 좋군요. 직장 동료들과도 원만한 관계가 유지되고, 사업 또한 이익이 생기는군요. 무슨 일이든지 본인의 마음 먹기에 달려 있으니 원하는 대로 추진해 보세요."
호랑이띠,1962,힘들고 지친 당신에게 필요한 것은 가족이에요. 사랑하는 가족과 함께 즐거운 시간을 보낸다면 피로 회복은 물론 좋은 결과가 있을 거예요. 혼자 해결하는 것은 더 힘들어질 뿐이에요.
호랑이띠,1950,가정에 금전운이 상승하여 재물이 들어오겠지만 질병으로 인해 병원 지출이 있겠네요. 돈도 중요하지만 건강이 우선이라는 것을 잊지 마시고 지금부터라도 건강에 소홀하지 마세요.
호랑이띠,1938,오늘 외출할 계획이 있다면 가벼운 산책 정도로 끝내는 것이 좋아요. 차를 타고 이동하기보다는 도보를 이용하는 것이 좋으며 자칫 사고가 생길 수 있으니 각별한 주의가 필요해요.
토끼띠,1999,"새로운 일 들을 계획하기에 매우 좋은 날 이군요. 머릿 속에 새로운 아이디어가 가득하니, 업무나 학문에 반영해 본다면 승산이 있어요. 바삐 움직여 좋은 성과를 만들어야 되요."
토끼띠,1987,"심기가 불편한 관계로 모든 일에 무리가 생기겠군요. 공허한 마음과 자존감에 몹시 힘드네요. 가급적 업무적인 만남이 아닌, 내가 사랑하는 사람들과의 시간을 만들어 보세요."
토끼띠,1975,"오늘은 불필요한 회의 시간을 줄이고, 차분한 마음으로 업무를 정리하는 시간을 늘리세요. 혼자 만의 시간을 갖고 내일을 위해, 철저한 계획과 준비에 시간을 할애 해야 해요."
토끼띠,1963,중요한 만남이 계획되어 있다면 장소는 동쪽이 좋아요. 만남에 있어서 좋은 결과가 반영 되니 걱정하지 마세요. 혹시 작은 문제가 생기더라도 귀인의 도움으로 잘 해결될 거예요.
토끼띠,1951,오늘은 멀리 여행을 떠나거나 이사를 하는 것 모두 좋지 않네요. 이런 날은 집에서 시간을 보내는 것이 가장 좋아요. 약속이 있다면 뒤로 미루고 나만의 시간을 가져보세요.
토끼띠,1939,마음의 안정을 찾는 것이 무엇보다 중요해요. 혼자만의 시간을 가지고 독서를 하거나 목욕을 하며 시간을 보내세요. 과하다 싶을 정도로 나른한 시간을 보내고 나면 좋아질 거예요.
용띠,2000,"중요한 발표나 안건이 있다면 오늘은 피하는 것이 좋아요. 만약, 피해 갈 수 없다면 마음의 평점심이 가장 중요해요. 욕심을 부리지 말고 친구들과 의논하고 단결해야 승산이 있겠군요."
용띠,1988,"그 동안 앓아 왔던 병이 있다면 완쾌 되겠군요. 머리도 맑아지고 하는 일을 효율적으로 마치게 되니 기분이 좋네요. 오랜만에 친구를 만나거나, 즐거운 여행을 계획해 보세요."
용띠,1976,업무적으로 좋은 분위기 속에서 일들이 잘 진행 되는군요. 나를 도와주는 지지자도 따르고 마음이 상쾌한 날 이네요. 가정내에서도 기쁜 소식이 들려오니 보람을 느끼겠네요.
용띠,1964,와우~ 기분 좋은 만남이 화목하고 편안한 하루를 만들어 줄 거예요. 무엇보다 상대방이 당신에게 호감을 가지고 있어 걱정했던 일들 또한 순조롭게 진행되겠네요.
용띠,1952,모임 약속이 있거나 외출이 계획되어 있다면 취소하는 게 좋겠어요. 오늘 하루는 얌전히 보내는 것이 여러모로 유리하니 일찍 귀가하시고 스스로 정리하는 시간을 가지도록 하세요.
용띠,1940,"앗, 생각지도 못한 사람으로부터 금전적인 도움을 받을 수 있겠네요. 겸손하게 도움을 받아들이면 앞으로 더 좋은 관계로 남을 수 있어요. 갚아야 할 돈이니 신중하게 결정하세요."
뱀띠,2001,"오늘 같은 날은 성공과 실패와는 무관한 날 이예요. 가장 중요한 일을 따지자면 가족, 사랑하는 사람과의 감정이예요. 내가 먼저 상대에게 다가가 면 기쁜 하루를 만들 수 있어요."
뱀띠,1989,"복잡하고 짜증 나는 일상에서 벗어나고 싶군요. 잠시 하던 일을 멈추고, 드라이브를 가거나 교외로 나가는 등 정신적 피로를 풀어 보세요. 취미 활동을 하기에도 좋은 날 이군요."
뱀띠,1977,자신을 한번 돌아보세요. 책상 정리를 한다든지 청소를 해도 좋아요. 일찍 귀가해서 가족과 즐겁고 여유로운 한때를 즐겨보세요. 중요한 업무와 결정은 내일로 미루는 것이 좋겠군요.
